	MST107_MiFiU_tag45	MST107_MiFiU_tag46	MST109_MiFiU_tag47	MST109_MiFiU_tag48	MST110_MiFiU_tag49	MST110_MiFiU_tag50	MST221_MiFiU_tag51	MST221_MiFiU_tag52	MST235_MiFiU_tag53	MST235_MiFiU_tag54	NC_MiFiU_tag55	PCMock_MiFiU_tag56
seq417	0	0	67	0	0	0	0	0	0	0	0	0
seq418	0	0	26	0	41	0	0	0	0	0	0	0
seq419	0	0	0	0	0	0	0	0	65	0	0	0
seq420	0	0	0	0	0	0	0	0	0	65	0	0
seq421	27	38	0	0	0	0	0	0	0	0	0	0
seq422	0	0	31	34	0	0	0	0	0	0	0	0
seq423	0	0	0	65	0	0	0	0	0	0	0	0
seq424	65	0	0	0	0	0	0	0	0	0	0	0
seq425	0	0	0	0	64	0	0	0	0	0	0	0
seq426	0	0	7	0	0	0	53	2	0	2	0	0
seq427	0	0	0	0	0	0	0	0	64	0	0	0
seq428	54	0	0	0	0	0	8	0	0	0	0	0
seq429	62	0	0	0	0	0	0	0	0	0	0	0
seq430	0	0	0	0	0	0	0	0	61	0	0	0
seq431	0	0	0	0	0	0	0	0	59	2	0	0
seq432	0	0	0	0	0	0	61	0	0	0	0	0
seq433	43	0	0	0	0	0	0	17	0	0	0	0
seq434	0	0	0	60	0	0	0	0	0	0	0	0
seq435	0	59	0	0	0	0	0	0	0	0	0	0
seq436	0	0	0	59	0	0	0	0	0	0	0	0
seq437	0	0	31	0	28	0	0	0	0	0	0	0
seq438	0	0	0	0	0	0	59	0	0	0	0	0
seq439	0	0	0	0	0	0	0	0	58	0	0	0
seq440	0	0	0	58	0	0	0	0	0	0	0	0
seq441	37	21	0	0	0	0	0	0	0	0	0	0
seq442	58	0	0	0	0	0	0	0	0	0	0	0
seq443	0	0	0	0	58	0	0	0	0	0	0	0
seq444	48	9	0	0	0	0	0	0	0	0	0	0
seq445	56	0	0	0	0	0	0	0	0	0	0	0
seq446	0	0	0	0	0	0	0	0	27	29	0	0
seq447	0	56	0	0	0	0	0	0	0	0	0	0
seq448	0	0	0	0	0	0	0	0	0	56	0	0
seq449	0	0	0	0	0	0	56	0	0	0	0	0
seq450	0	0	0	0	0	0	0	0	35	21	0	0
seq451	0	0	0	0	56	0	0	0	0	0	0	0
seq452	0	17	0	0	39	0	0	0	0	0	0	0
seq453	0	0	24	0	31	0	0	0	0	0	0	0
